round,game,votes,player,club
0,SYD vs MEL,1,I. Heeney,SYD
0,SYD vs MEL,2,B. Grundy,SYD
0,SYD vs MEL,3,J. Viney,MEL
0,CAR vs BRI,1,H. McKay,CAR
0,CAR vs BRI,2,P. Cripps,CAR
0,CAR vs BRI,3,D. Zorko,BRI
0,GC vs RICH,1,M. Rowell,GC
0,GC vs RICH,2,W. Powell,GC
0,GC vs RICH,3,B. King,GC
0,COL vs GWS,1,D. Cameron,COL
0,COL vs GWS,2,L. Whitfield,GWS
0,COL vs GWS,3,N. Daicos,COL
1,CAR vs RICH,1,T. De Koning,CAR
1,CAR vs RICH,2,N. Vlastuin,RICH
1,CAR vs RICH,3,N. Balata,RICH
1,SYD vs COL,1,L. McDonald,SYD
1,SYD vs COL,2,I. Heeney*,SYD
1,SYD vs COL,3,N. Daicos,COL
1,ESS vs HAW,1,J. Stringer,ESS
1,ESS vs HAW,2,J. Worpel,HAW
1,ESS vs HAW,3,A. Perkins,ESS
1,GWS vs NM,1,J. Hogan,GWS
1,GWS vs NM,2,H. Sheezel,NM
1,GWS vs NM,3,Tom Green,GWS
1,STK vs GEEL,1,M. King,STK
1,STK vs GEEL,2,O. Dempsey,GEEL
1,STK vs GEEL,3,P. Dangerfield,GEEL
1,ADE vs GC,1,J. Rachele,ADE
1,ADE vs GC,2,M. Rowell,GC
1,ADE vs GC,3,N. Anderson,GC
1,MEL vs WB,1,C. Petracca,MEL
1,MEL vs WB,2,J. Billings,MEL
1,MEL vs WB,3,C. Oliver,MEL
1,PA vs WC,1,C. Dixon,PA
1,PA vs WC,2,Z. Butters,PA
1,PA vs WC,3,C. Rozee,PA
1,FRE vs BRI,1,J. Amiss,FRE
1,FRE vs BRI,2,J. Daniher,BRI
1,FRE vs BRI,3,C. Serong,FRE
2,COL vs STK,1,P. Lipinski,COL
2,COL vs STK,2,J. Daicos,COL
2,COL vs STK,3,N. Wanganeen-Milera,STK
2,GEEL vs ADE,1,T. Hawkins,GEE
2,GEEL vs ADE,2,G. Miers,GEEL
2,GEEL vs ADE,3,M. Crouch,ADE
2,NM vs FRE,1,L. Jackson,FRE
2,NM vs FRE,2,H. Sheezel,NM
2,NM vs FRE,3,C. Serong,FRE
2,HAW vs MEL,1,J. Sicily,HAW
2,HAW vs MEL,2,B. Fritsch,MEL
2,HAW vs MEL,3,C. Petracca,MEL
2,ESS vs SYD,1,T. Papley,SYD
2,ESS vs SYD,2,I. Heeney*,SYD
2,ESS vs SYD,3,Z. Merrett,ESS
2,WB vs GC,1,T. Miller,GC
2,WB vs GC,2,C. Weightman,WB
2,WB vs GC,3,M. Bontempelli,WB
2,RICH vs PA,1,T. Taranto,RICH
2,RICH vs PA,2,C. Rozee,PA
2,RICH vs PA,3,Z. Butters,PA
2,WC vs GWS,1,J. Kelly,GWS
2,WC vs GWS,2,Tom Green,GWS
2,WC vs GWS,3,L. Whitfield,GWS
3,BRI vs COL,1,H. McCluggage,BRI
3,BRI vs COL,2,N. Daicos,COL
3,BRI vs COL,3,L. Neale,BRI
3,NM vs CAR,1,H. McKay,CAR
3,NM vs CAR,2,T. Powell,NM
3,NM vs CAR,3,H. Sheezel,NM
3,FRE vs ADE,1,C. Serong,FRE
3,FRE vs ADE,2,M. Walters,FREE
3,FRE vs ADE,3,H. Young,FRE
3,ESS vs STK,1,R. Marshall,STK
3,ESS vs STK,2,R. Bonner,STK
3,ESS vs STK,3,N. Martin,ESS
3,PA vs MEL,1,C. Rozee,PA
3,PA vs MEL,2,T. Rivers,MEL
3,PA vs MEL,3,M. Gawn,MEL
3,WB vs WC,1,T. English,WB
3,WB vs WC,2,E. Yeo,WC
3,WB vs WC,3,A. Treloar,WB
3,RICH vs SYD,1,I. Heeney*,SYD
3,RICH vs SYD,2,J. Lloyd,SYD
3,RICH vs SYD,3,T. Taranto,RICH
3,HAW vs GEEL,1,L. Meek,HAW
3,HAW vs GEEL,2,M. Duncan,GEEL
3,HAW vs GEEL,3,J. Worpel,HAW
4,ADE vs MEL,1,M. Gawn,MEL
4,ADE vs MEL,2,M. Crouch,ADE
4,ADE vs MEL,3,C. Petracca,MEL
4,BRI vs NM,1,H. Sheezel,NM
4,BRI vs NM,2,H. McCluggage,BRI
4,BRI vs NM,3,J. Daniher,BRI
4,PA vs ESS,1,N. Martin,ESS
4,PA vs ESS,2,Z. Merrett,ESS
4,PA vs ESS,3,C. Rozee,PA
4,WC vs SYD,1,B. Grundy,SYD
4,WC vs SYD,2,L. Duggan,WC
4,WC vs SYD,3,E. Gulden,SYD
4,FRE vs CAR,1,J. Clark,FRE
4,FRE vs CAR,2,J. Sharp,FRE
4,FRE vs CAR,3,A. Brayshaw,FRE
4,WB vs GEEL,1,J. Cameron,GEEL
4,WB vs GEEL,2,M. Bontempelli,WB
4,WB vs GEEL,3,A. Treloar,WB
4,GC vs GWS,1,J. Cameron,GEEL
4,GC vs GWS,2,M. Bontempelli,WB
4,GC vs GWS,3,A. Treloar,WB
4,RICH vs STK,1,D. Martin,RICH
4,RICH vs STK,2,T. Nankervis,RICH
4,RICH vs STK,3,J. Steele,STK
4,HAW vs COL,1,J. Newcombe,HAW
4,HAW vs COL,2,J. Daicos,COL
4,HAW vs COL,3,J. De Goey,COL
5,MEL vs BRI,1,D. Zorko,BRI
5,MEL vs BRI,2,J. Dunkley,BRI
5,MEL vs BRI,3,M. Gawn,MEL
5,WB vs ESS,1,N. Martin,ESS
5,WB vs ESS,2,A. Treloar,WB
5,WB vs ESS,3,X. Duursma,ESS
5,GWS vs STK,1,J. Steele,STK
5,GWS vs STK,2,L. Whitfield,GWS
5,GWS vs STK,3,B. Hill,STK
5,CAR vs ADE,1,B. Acres,CAR
5,CAR vs ADE,2,B. Keays,ADE
5,CAR vs ADE,3,S. Walsh,CAR
5,GC vs HAW,1,K. Amon,HAW
5,GC vs HAW,2,N. Anderson,GC
5,GC vs HAW,3,S. Flanders,GC
5,PA vs FRE,1,Z. Butters,PA
5,PA vs FRE,2,D. Houston,PA
5,PA vs FRE,3,C. Serong,FRE
5,GEEL vs NM,1,L. Davies-Uniacke,NM
5,GEEL vs NM,2,J. Cameron,GEEL
5,GEEL vs NM,3,H. Sheezel,NM
5,WC vs RICH,1,E. Yeo,WC
5,WC vs RICH,2,J. Kelly,WC
5,WC vs RICH,3,J. Waterman,WC
6,STK vs WB,1,A. Naughton,WB
6,STK vs WB,2,A. Treloar,WB
6,STK vs WB,3,B. Dale,WB
6,ADE vs ESS,1,N. Martin,ESS
6,ADE vs ESS,2,J. Soligo,ADE
6,ADE vs ESS,3,J. Dawson,ADE
6,COL vs PA,1,P. Lipinski,COL
6,COL vs PA,2,N. Daicos,COL
6,COL vs PA,3,Z. Butters,PA
6,CAR vs GWS,1,S. Walsh,CAR
6,CAR vs GWS,2,J. Kelly,GWS
6,CAR vs GWS,3,P. Cripps,CAR
6,BRI vs GEEL,1,J. Dunkley,BRI
6,BRI vs GEEL,2,J. Berry,BRI
6,BRI vs GEEL,3,D. Zorko,BRI
6,WC vs FRE,1,J. Waterman,WC
6,WC vs FRE,2,E. Yeo,WC
6,WC vs FRE,3,C. Serong,FRE
6,SYD vs GC,1,J. Witts,GC
6,SYD vs GC,2,I. Heeney,SYD
6,SYD vs GC,3,S. Flanders,GC
6,NM vs HAW,1,H. Sheezel,NM
6,NM vs HAW,2,D. Moore,HAW
6,NM vs HAW,3,C. Nash,HAW
7,RICH vs MEL,1,M. Rioli,RICH
7,RICH vs MEL,2,T. Rivers,MEL
7,RICH vs MEL,3,M. Gawn,MEL
7,ESS vs COL,1,N. Martin,ESS
7,ESS vs COL,2,Z. Merrett,ESS
7,ESS vs COL,3,A. McGrath,ESS
7,GWS vs BRI,1,H. McCluggage,BRI
7,GWS vs BRI,2,F. Callaghan,GWS
7,GWS vs BRI,3,Tom Green,GWS
7,PA vs STK,1,C. Dixon,PA
7,PA vs STK,2,O. Wines,PA
7,PA vs STK,3,J. Sinclair,STK
7,NM vs ADE,1,H. Sheezel,NM
7,NM vs ADE,2,L. Davies-Uniacke,NM
7,NM vs ADE,3,R. Laird,ADE
7,GEEL vs CAR,1,J. Cameron,GEEL
7,GEEL vs CAR,2,S. Walsh,CAR
7,GEEL vs CAR,3,P. Cripps,CAR
7,FRE vs WB,1,C. Serong,FRE
7,FRE vs WB,2,T. English,WB
7,FRE vs WB,3,N. Fyfe,FRE
7,GC vs WC,1,M. Rowell,GC
7,GC vs WC,2,J. Witts,GC
7,GC vs WC,3,N. Anderson,GC
7,HAW vs SYD,1,D. Moore,HAW
7,HAW vs SYD,2,O. Florent,SYD
7,HAW vs SYD,3,N. Blakey,SYD
8,ADE vs PA,1,O. Wines,PA
8,ADE vs PA,2,J. Soligo,ADE
8,ADE vs PA,3,Z. Butters,PA
8,CAR vs COL,1,B. Acres,CAR
8,CAR vs COL,2,N. Newman,CAR
8,CAR vs COL,3,N. Daicos,COL
8,SYD vs GWS,1,E. Gulden,SYD
8,SYD vs GWS,2,B. Grundy,SYD
8,SYD vs GWS,3,C. Warner,SYD
8,STK vs NM,1,Z. Fisher,STK
8,STK vs NM,2,N. Wanganeen-Milera,STK
8,STK vs NM,3,J. Sinclair,STK
8,MEL vs GEEL,1,T. Atkins,GEEL
8,MEL vs GEEL,2,C. Oliver,MEL
8,MEL vs GEEL,3,M. Holmes,GEEL
8,WC vs ESS,1,N. Martin,ESS
8,WC vs ESS,2,Z. Merrett,ESS
8,WC vs ESS,3,D. Parish,ESS
8,RICH vs FRE,1,H. Young,FRE
8,RICH vs FRE,2,C. Serong,FRE
8,RICH vs FRE,3,L. Ryan,FRE
8,WB vs HAW,1,T. English,WB
8,WB vs HAW,2,A. Treloar,WB
8,WB vs HAW,3,J. Impey,HAW
8,BRI vs GC,1,J. Dunkley,BRI
8,BRI vs GC,2,L. Neale,BRI
8,BRI vs GC,3,D. Zorko,BRI
9,CAR vs MEL,1,C. Petracca,MEL
9,CAR vs MEL,2,P. Cripps,CAR
9,CAR vs MEL,3,S. Walsh,CAR
9,GEEL vs PA,1,J. Horne-Francis,PA
9,GEEL vs PA,2,Z. Butters,PA
9,GEEL vs PA,3,O. Wines,PA
9,FRE vs SYD,1,C. Serong,FRE
9,FRE vs SYD,2,O. Florent,SYD
9,FRE vs SYD,3,J. Sharp,FRE
9,HAW vs STK,1,R. Bonner,STK
